CHEMBL296468	CID3025986
CHEMBL72862	CID10247549
CHEMBL635	CID5865
CHEMBL366460	CID72304
CHEMBL576982	CID24889392
CHEMBL561708	CID44219749
CHEMBL467	CID3657
CHEMBL658	CID41693
CHEMBL1234354	CID25033539
CHEMBL1261	CID311
[3H]PYRILAMINE	CID656400
CHEMBL3545376	CID67462786
CHEMBL1502	CID4679
CHEMBL551064	CID45270897
CHEMBL107251	CID1433
CHEMBL2013119	CID23696523
CHEMBL266195	CID2119
CHEMBL2103836	CID10236037
CHEMBL313714	CID9847194
CHEMBL1213492	CID9804992
CHEMBL1473	CID444036
SULINDAC	CID1548887
CHEMBL2095222	CHEMBL2095222
CHEMBL179691	CID11167850
CHEMBL3545209	CHEMBL3545209
CHEMBL53463	CID31703
CHEMBL1201155	CID25137852
CHEMBL1289601	CID9823820
CHEMBL462605	CID9948102
[125I]S70254	CID86277839
CHEMBL515	CID2708
CHEMBL131	CID5755
CHEMBL6966	CID2520
CHEMBL25554	CID5685
CHEMBL239226	CID9931891
CHEMBL3545360	CID25134326
CHEMBL354541	CID9853053
CHEMBL107	CID6167
CHEMBL548	CID5280360
CHEMBL1059	CID5486971
CHEMBL1237123	CID60169
CHEMBL451	CID2712
CHEMBL1175	CID60835
CHEMBL3187365	CID9903970
CHEMBL449158	CID5280757
CHEMBL1789941	CID25126798
CHEMBL175247	CID3034010
CHEMBL432162	CID60919
CHEMBL477772	CID10113978
CHEMBL1200434	CID656652
CHEMBL24828	CID3081361
COMPOUND 14J [PMID: 27050842]	CID119081688
CHEMBL1770298	CID53233899
CHEMBL1535	CID3652
CHEMBL3545368	CID23725423
CHEMBL941	CID5291
CHEMBL1218	CID208902
CHEMBL686	CID4044
CHEMBL545	CID702
CHEMBL36	CID4993
CHEMBL3137348	CHEMBL3137348
CHEMBL1789844	CHEMBL1789844
CHEMBL646	CID5556
CHEMBL685	CID4030
CHEMBL1550	CID5284607
CHEMBL1201023	CID9568
CHEMBL1089	CID3675
CHEMBL1742420	CID60205731
CHEMBL315985	CID9881504
CHEMBL1614701	CID10127622
CHEMBL1201134	CID157920
CHEMBL491473	CID9933475
CHEMBL1255840	CID3074827
RPL-554	CID9934746
CHEMBL598797	CID24756910
CHEMBL586701	CID3702043
CHEMBL266481	CID102331734
CHEMBL2107067	CID65157
CHEMBL1421	CID3062316
