isobutyramide	CHEMBL352219
chuanxiongzine	CHEMBL303697
danofloxacin	CHEMBL157548
nitrofurazone	CHEMBL869
rivaroxaban	CHEMBL198362
pruvanserin	CHEMBL1215661
IPI-145	CHEMBL3039502
TW-37	CHEMBL217354
viloxazine	CHEMBL306700
ritodrine	CHEMBL83063
ritodrine	CHEMBL785
AZD1208	CHEMBL2048872
L-701324	CHEMBL31741
irbesartan	CHEMBL1513
closantel	CHEMBL12131
WHI-P154	CHEMBL473773
NSC-9965	CHEMBL293950
GSK1292263	CHEMBL3187503
AS-703026	CHEMBL2107832
cabaletta	CHEMBL1236395
amoxapine	CHEMBL1113
AZD5438	CHEMBL488436
perampanel	CHEMBL1214124
OG-L002	CHEMBL4289507
4E1RCat	CHEMBL1610008
trepibutone	CHEMBL1725880
7-hydroxystaurosporine	CHEMBL1236539
SCS	CHEMBL354261
SCS	CHEMBL1562777
oleamide	CHEMBL15927
ezetimibe	CHEMBL1138
laquinimod	CHEMBL66092
candesartan	CHEMBL1016
thioperamide	CHEMBL260374
betazole	CHEMBL1201323
BTS-54505	CHEMBL1597911
E7449	CHEMBL3644587
pyroxamide	CHEMBL353581
GKT137831	CHEMBL4303187
ranirestat	CHEMBL334830
ranirestat	CHEMBL132846
liranaftate	CHEMBL1591365
iodoquinol	CHEMBL86754
SB-366791	CHEMBL122413
posaconazole	CHEMBL1397
varespladib	CHEMBL148674
pemetrexed	CHEMBL225072
bicalutamide	CHEMBL409
bazedoxifene	CHEMBL46740
tiopronin	CHEMBL1314
SR-33805	CHEMBL33620
sulfasalazine	CHEMBL421
taprenepag	CHEMBL2107783
GTP-14564	CHEMBL406375
GR-144053	CHEMBL36326
dextrose	CHEMBL1222250
dextrose	CHEMBL1614854
tofogliflozin	CHEMBL2110731
GS-39783	CHEMBL392394
NCS-382	CHEMBL446774
NCS-382	CHEMBL472694
furaltadone	CHEMBL1189513
BI-78D3	CHEMBL508280
azeliragon	CHEMBL3989929
trimipramine	CHEMBL644
paroxypropione	CHEMBL312311
pirodavir	CHEMBL298019
suprofen	CHEMBL956
alfadolone-acetate	CHEMBL1874407
toceranib	CHEMBL13608
retapamulin	CHEMBL1658
harmane	CHEMBL12014
GZD824	CHEMBL2316582
sclareolide	CHEMBL304461
thioguanine	CHEMBL727
mizoribine	CHEMBL245019
tenofovir	CHEMBL483
tobramycin	CHEMBL1747
nerbacadol	CHEMBL2104808
ammonium-lactate	CHEMBL1200747
propantheline	CHEMBL1180725
nicotine	CHEMBL3
TWS-119	CHEMBL405759
itraconazole	CHEMBL22587
itraconazole	CHEMBL64391
chloroxine	CHEMBL1200596
scriptaid	CHEMBL96051
2-cyanopyrimidine	CHEMBL3352946
adefovir	CHEMBL484
eprinomectin	CHEMBL3989594
telenzepine	CHEMBL253978
losartan	CHEMBL191
G-15	CHEMBL583543
PU-H71	CHEMBL200102
aurora-a-inhibitor-i	CHEMBL502124
AZD1981	CHEMBL1914489
elesclomol	CHEMBL1972860
lithium-citrate	CHEMBL1201170
UNC0321	CHEMBL1214066
TAK-063	CHEMBL3989972
YS-035	CHEMBL1329438
acedoben	CHEMBL112687
PHTPP	CHEMBL191066
pterostilbene	CHEMBL83527
streptomycin	CHEMBL372795
aminothiazole	CHEMBL344760
valganciclovir	CHEMBL1201314
paracetamol	CHEMBL112
fidarestat	CHEMBL84446
SB-222200	CHEMBL10284
dihydrotestosterone	CHEMBL27769
ki16198	CHEMBL4303365
CYC116	CHEMBL482967
tocainide	CHEMBL1762
anamorelin	CHEMBL2110579
bicuculline-(+)	CHEMBL417990
voriconazole	CHEMBL638
quinine-ethyl-carbonate	CHEMBL1398476
quinine-ethyl-carbonate	CHEMBL3039178
quinine-ethyl-carbonate	CHEMBL3138665
oxaprozin	CHEMBL1071
rotundine	CHEMBL487182
rotundine	CHEMBL187892
rotundine	CHEMBL2334889
vatalanib	CHEMBL101253
aztreonam	CHEMBL158
sulmazole	CHEMBL286020
ebselen	CHEMBL51085
JK-184	CHEMBL514622
lestaurtinib	CHEMBL603469
PP242	CHEMBL1241674
PP242	CHEMBL3988893
PF-04447943	CHEMBL2179105
semagacestat	CHEMBL520733
cholecalciferol	CHEMBL1042
phthalylsulfacetamide	CHEMBL2106951
saccharin	CHEMBL310671
enciprazine	CHEMBL101284
tetracycline	CHEMBL1440
TG-003	CHEMBL408982
homosalate	CHEMBL1377575
epothilone-d	CHEMBL96172
vecuronium	CHEMBL1201219
cyclizine	CHEMBL648
adenosine	CHEMBL477
obidoxime	CHEMBL451635
NPC-15199	CHEMBL149394
ST-1859	CHEMBL447347
calcifediol	CHEMBL1040
ADX-47273	CHEMBL381055
antazoline	CHEMBL1305
carbinoxamine	CHEMBL864
PD-407824	CHEMBL214253
SB-203186	CHEMBL1255781
piromidic-acid	CHEMBL311350
PK-11195	CHEMBL481537
moxisylyte	CHEMBL159226
oxyfedrine	CHEMBL1651913
rilpivirine	CHEMBL175691
pimethixene	CHEMBL152408
LCL-161	CHEMBL2431768
etofylline	CHEMBL699
chloramphenicol-palmitate	CHEMBL1506
chloralose	CHEMBL2104181
sulphadimethoxine	CHEMBL62193
calcium-gluceptate	CHEMBL1237066
trifluridine	CHEMBL1129
edelfosine	CHEMBL28509
piperacetazine	CHEMBL1584
sevoflurane	CHEMBL1200694
estrone	CHEMBL1405
brequinar	CHEMBL38434
iocetamic-acid	CHEMBL1200770
solithromycin	CHEMBL1232510
solithromycin	CHEMBL1240704
MLN-8054	CHEMBL259084
tubocurarine	CHEMBL339427
A61603	CHEMBL109783
diphencyprone	CHEMBL1373467
mycophenolate-mofetil	CHEMBL1456
curcumin	CHEMBL116438
pimonidazole	CHEMBL58752
ramifenazone	CHEMBL157337
levetiracetam	CHEMBL1286
FK-3311	CHEMBL4303327
xanthone	CHEMBL186784
magnolol	CHEMBL180920
salicylanilide	CHEMBL82970
Ro-60-0175	CHEMBL76781
etravirine	CHEMBL308954
urea	CHEMBL985
BRL-15572	CHEMBL534232
dantrolene	CHEMBL1201288
1-EBIO	CHEMBL452887
somatostatin	CHEMBL1823872
chlorzoxazone	CHEMBL1371
scopolamine	CHEMBL1187846
scopolamine	CHEMBL569713
ethacridine-lactate-monohydrate	CHEMBL2355915
ampalex	CHEMBL136800
palmatine-chloride	CHEMBL274189
nutlin-3	CHEMBL191334
caspofungin-acetate	CHEMBL4297142
debrisoquin	CHEMBL169901
KRN-633	CHEMBL406381
norepinephrine	CHEMBL1437
STF-62247	CHEMBL565269
LY2140023	CHEMBL2110730
cerulenin	CHEMBL45627
KP-1212	CHEMBL3086524
azatadine	CHEMBL946
methacycline	CHEMBL249837
P5091	CHEMBL2159495
tioconazole	CHEMBL1200438
GW-501516	CHEMBL38943
chrysin	CHEMBL117
pitavastatin	CHEMBL1201753
flopropione	CHEMBL1605835
sulisobenzone	CHEMBL2059073
SB-216763	CHEMBL102714
ATN-161	CHEMBL4297456
satraplatin	CHEMBL3833367
pirinixic-acid	CHEMBL295416
niridazole	CHEMBL152632
2-hydroxyflutamide	CHEMBL491
tecovirimat	CHEMBL1257073
tecovirimat	CHEMBL1242629
trequinsin	CHEMBL285913
carbetapentane	CHEMBL73234
zosuquidar	CHEMBL444172
AZ20	CHEMBL2325697
milrinone	CHEMBL189
letermovir	CHEMBL1241951
phenacaine	CHEMBL127123
talinolol	CHEMBL152067
LY215490	CHEMBL70937
etonogestrel	CHEMBL1531
carteolol	CHEMBL839
NVP-AEW541	CHEMBL551064
propylhexedrine	CHEMBL2105275
midodrine	CHEMBL1201212
benzbromarone	CHEMBL388590
selamectin	CHEMBL1908325
adenosine-phosphate	CHEMBL752
amidopyrine	CHEMBL288470
temozolomide	CHEMBL810
irinotecan	CHEMBL481
merbromin	CHEMBL2097077
merbromin	CHEMBL3833381
nitenpyram	CHEMBL259728
dipyridamole	CHEMBL932
veliflapon	CHEMBL88712
CCMI	CHEMBL429317
UNC0631	CHEMBL1829305
zotepine	CHEMBL285802
L-NAME	CHEMBL7890
acetohexamide	CHEMBL1589
rivanicline	CHEMBL132966
butalbital	CHEMBL454
NVP-DPP728	CHEMBL77538
idarubicin	CHEMBL1117
gadoteridol	CHEMBL1200593
butacaine	CHEMBL129529
rifabutin	CHEMBL444633
hexylcaine	CHEMBL1197
dolutegravir	CHEMBL1229211
didox	CHEMBL367788
mofezolac	CHEMBL259972
sitaxentan	CHEMBL282724
amantadine	CHEMBL660
AMG-208	CHEMBL496102
SEW-2871	CHEMBL224720
sulfacarbamide	CHEMBL139877
BAM7	CHEMBL3187660
BAM7	CHEMBL3417395
10058-F4	CHEMBL1568415
BRL-54443	CHEMBL1256797
CHIR-124	CHEMBL377312
nonivamide	CHEMBL75124
paraxanthine	CHEMBL1158
methapyrilene	CHEMBL1411979
rosiglitazone	CHEMBL121
SR-59230A	CHEMBL1326499
tropisetron	CHEMBL56564
TRV130	CHEMBL2443262
timonacic	CHEMBL358722
priralfinamide	CHEMBL2107771
bentiromide	CHEMBL1200368
fluticasone-propionate	CHEMBL1473
solamargine	CHEMBL443114
tiapride	CHEMBL84158
pentolinium	CHEMBL1271
pranoprofen	CHEMBL367463
gastrodin	CHEMBL274739
EPZ004777	CHEMBL2169919
SDZ-WAG-994	CHEMBL117904
CH-170	CHEMBL4303231
m-Chlorophenylbiguanide	CHEMBL13790
flutrimazole	CHEMBL2107430
garenoxacin	CHEMBL215303
PNU-282987	CHEMBL177611
crizotinib	CHEMBL601719
pipenzolate	CHEMBL1619528
pipenzolate	CHEMBL1393947
desonide	CHEMBL1201109
idazoxan	CHEMBL10316
PSB-06126	CHEMBL498423
taranabant	CHEMBL220360
AM-630	CHEMBL181633
triptorelin	CHEMBL1201334
tideglusib	CHEMBL3545157
BD-1008	CHEMBL20377
pancuronium	CHEMBL185073
meclofenamic-acid	CHEMBL509
panobinostat	CHEMBL483254
testosterone-propionate	CHEMBL1170
lincomycin	CHEMBL1447
APD668	CHEMBL1775179
C-1	CHEMBL2108955
BW-373U86	CHEMBL25230
maprotiline	CHEMBL21731
florfenicol	CHEMBL1241590
fursultiamine	CHEMBL1740659
atorvastatin	CHEMBL1487
diacetamate	CHEMBL2106185
examorelin	CHEMBL108335
belinostat	CHEMBL408513
fluroxene	CHEMBL141446
elacridar	CHEMBL396298
nitazoxanide	CHEMBL1401
dehydroepiandrosterone	CHEMBL90593
eplerenone	CHEMBL1095097
clonazepam	CHEMBL452
ceftiofur	CHEMBL222913
CGP-55845	CHEMBL455185
betrixaban	CHEMBL512351
CEP-33779	CHEMBL2062804
AZD8055	CHEMBL1801204
oridonin	CHEMBL454570
ML130	CHEMBL1412853
AT-9283	CHEMBL495727
dimercaptosuccinic-acid	CHEMBL1201073
aminophylline	CHEMBL1370561
ADL5859	CHEMBL494480
foscarnet	CHEMBL666
bardoxolone-methyl	CHEMBL1762621
cefozopran	CHEMBL1276663
deforolimus	CHEMBL2103839
3-amino-benzamide	CHEMBL81977
resiquimod	CHEMBL383322
etosalamide	CHEMBL2104260
LB42708	CHEMBL4210419
dapiprazole	CHEMBL1201216
neratinib	CHEMBL180022
nizofenone	CHEMBL2106822
paritaprevir	CHEMBL3391662
PD-318088	CHEMBL3182051
ASA-404	CHEMBL71263
BMS-986020	CHEMBL4297270
STA-5326	CHEMBL4297643
butamben	CHEMBL127516
seocalcitol	CHEMBL1908376
asiatic-acid	CHEMBL404313
equol	CHEMBL198877
equol	CHEMBL1957037
equol	CHEMBL3127843
SDZ-NKT-343	CHEMBL106092
masitinib	CHEMBL1908391
salicylic-acid	CHEMBL424
oxethazaine	CHEMBL127592
ellagic-acid	CHEMBL6246
SKF-83566	CHEMBL324017
imetit	CHEMBL19439
kainic-acid	CHEMBL275040
flumazenil	CHEMBL407
bromhexine	CHEMBL253376
basimglurant	CHEMBL3301626
CB-03-01	CHEMBL3590187
tezacaftor	CHEMBL3544914
linsitinib	CHEMBL1091644
enzastaurin	CHEMBL300138
dimethisoquin	CHEMBL127643
hydrocortisone-phosphate	CHEMBL1641
mitiglinide	CHEMBL471498
CPCCOEt	CHEMBL337583
arcyriaflavin-a	CHEMBL268368
hydroxyamphetamine	CHEMBL1546
bismuth-subcitrate-potassium	CHEMBL1201186
pyritinol	CHEMBL488093
phlorizin	CHEMBL245067
