name	alias
06 BG	06-Benzylguanine
06-BG	06-Benzylguanine
06-BG (NABTT 0803)	06-Benzylguanine
06BG	06-Benzylguanine
06GB	06-Benzylguanine
17-AAG	Demethoxygeldanamycin
17-AAG	Tanespimycin
17AAG	Demethoxygeldanamycin
2-[1-hexyloxyethyl]-2-devinyl pyropheophorbide-alpha (HPPH or Photochlor)	Photochlor
2B3-101	Doxorubicin
5 FU	Fluorouracil
5 Flourouracil	5 fluorouracil
5 Fluoruoracil	5-fluorouracil
5 fluorouracil	Fluorouracil
5 fluorouracil+leucovorin	Fluorouracil+Leucovorin
5 fluorouracilum	Fluorouracil
5 fluorouracilum+leucovorin	Fluorouracil+Leucovorin
5- FU	Fluorouracil
5-FLUOROURACIL	Fluorouracil
5-FU	Fluorouracil
5-FU + LEULOV	Fluorouracil+Leucovorin
5-FU+ etoposidium	Fluorouracil+Etoposide
5-Flourouracil	5-fluorouracil
5-Flourouracil	Fluorouracil
5-Fluorouracil	Fluorouracil
5-Fluorouracil + leucovorin	Fluorouracil+Leucovorin
5-Fluorouracil?	Fluorouracil
5-Fluoruoracil	5-fluorouracil
5-Fluoruoracil	Fluorouracil
5-fluorouracil	Fluorouracil
5-fluorouracilum	Fluorouracil
5-flurouracil	Fluorouracil
5-fu	Fluorouracil
58500	NO-FIND
5F4 LEUCOVORIN	Leucovorin
5F4 Leucovorin	Fluorouracil+Leucovorin
5FU	Fluorouracil
5fluorouracil	5 fluorouracil
5fluorouracil+leucovorin	Fluorouracil+Leucovorin
5fluorouracil+oxaciplatina+l-folinian discido	Oxaliplatin+Leucovorin+Fluorouracil
6 THIGUANINE	Tioguanine
6 THIOGUANINE	Tioguanine
6 Thiguanine	'Tioguanine'
6 Thiguanine	6-thioguanine
6-MERCAPTOPURINE	Tioguanine
81C6	81C6
9 AMINOCAMPTOTHECIN	9-AMINOCAMPTOTHECIN
9 Aminocamptothecin	Aminocamptothecin
9 IMMUNOAMINO CAMPTNETECIN	9-AMINOCAMPTOTHECIN
90Y-HU3S193	90Y-HU3S193
90Y-HU3S193	Hu3S193
97212	NO-FIND
A202171 Protocol	NOS
A443654	A443654
A769662	A769662
A770041	A770041
ABRAXANE	Paclitaxel
ABT-888	Veliparib
ABT-888 PARP INHIBITOR	Veliparib
ABT-888 and temozolomide	Veliparib+Temozolomide
ABT263	Navitoclax
ABT888	Veliparib
ABTC 0603 HYDROXYCHLOROQUINE	Hydroxychloroquine
AC	Cyclophosphamide+Doxorubicin
ACCTUANE	Isotretinoin
ACCUTANE	Isotretinoin
ADRIAMYCIN	Doxorubicin
ADRIMYCIN	Doxorubicin
AE 788	AE788
AE-37	AE37
AFATINIB	AFATINIB
AFINITOR	Everolimus
AICAR	AICAR
AKT inhibitor VIII (1)	akt inhibitor viii
ALBUMIN-BOUND PACLITAXEL	Paclitaxel
ALIMTA	Pemetrexed
ALMITA	Pemetrexed
ALPHA INTERFERON	Alpha interferon
AMG 102	Rilotumumab
AMG 706	Motesanib
AMG 706	motesanib
AMG706	motesanib
AMGEN 706	motesanib
AMINOPTERIN	AMINOPTERIN
AMITOSTIN	Amifostine
AMITOSTINE	Amifostine
ANASTROZOLE	Anastrozole
ANASTROZOLE (ARIMIDEX)	Anastrozole
ANGIOCEPT	Angiocept
ANTI NEOPASTONS	Anti Neoplastons
AP-23573 (ARIAD)	Ridaforolimus
AP24534	ponatinib
ARIAD AP23573	Deforolimus
ARIMIDEX	Anastrozole
ARIMIDEX (ANASTROZOLE)	Anastrozole
ARMIDEX	Anastrozole
AROMASIN	Exemestane
AROMASIN (EXEMESTANE)	Exemestane
ARSENIC TNOXIDE	ARSENIC TRIOXIDE
ARSENIC TRIOXIDE	ARSENIC TRIOXIDE
AS601245	AS601245
AT 101	AT-101
AT-101	AT-101
ATTAC	NO-FIND
AUY922	AUY922
