ID	DepMap
NIHOVCAR3	ACH-000001
HL60	ACH-000002
CACO2	ACH-000003
HEL	ACH-000004
HEL9217	ACH-000005
MONOMAC6	ACH-000006
LS513	ACH-000007
C2BBE1	ACH-000009
NCIH2077	ACH-000010
253J	ACH-000011
HCC827	ACH-000012
ONCODG1	ACH-000013
HS294T	ACH-000014
NCIH1581	ACH-000015
SLR21	ACH-000016
SKBR3	ACH-000017
T24	ACH-000018
MCF7	ACH-000019
MUTZ5	ACH-000492
NCIH1693	ACH-000021
PATU8988S	ACH-000022
PATU8988T	ACH-000023
OPM2	ACH-000024
CH157MN	ACH-000025
253JBV	ACH-000026
GOS3	ACH-000027
KPL1	ACH-000028
HCC827GR5	ACH-000029
PC14	ACH-000030
PANC0213	ACH-000031
MHHCALL3	ACH-000032
NCIH1819	ACH-000033
PLB985	ACH-000034
NCIH1650	ACH-000035
U343	ACH-000036
S117	ACH-000037
RL	ACH-000371
A673	ACH-000052
U118MG	ACH-000040
CADOES1	ACH-000210
PANC0203	ACH-000042
HS895T	ACH-000043
SUM190PT	ACH-001393
MV411	ACH-000045
ACHN	ACH-000046
GCIY	ACH-000047
TOV112D	ACH-000048
HEKTE	ACH-000049
NCIH929	ACH-000050
TE617T	ACH-000051
CBAGPN	ACH-001022
KARPAS299	ACH-000053
HT1080	ACH-000054
D283MED	ACH-000055
DOHH2	ACH-000056
OPM1	ACH-000057
ML1	ACH-000058
MHHCALL4	ACH-000156
PANC1005	ACH-000060
HH	ACH-000061
RERFLCMS	ACH-000062
HS616T	ACH-000063
SALE	ACH-000064
OCIAML5	ACH-000065
HCC4006	ACH-000066
HS683	ACH-000067
HS611T	ACH-000069
FARAGE	ACH-001498
HS706T	ACH-000071
MEG01	ACH-000072
MINO	ACH-000220
KU812	ACH-000074
U87MG	ACH-000075
NCO2	ACH-000076
MJ	ACH-000077
MHHNB11	ACH-000078
TE125T	ACH-000079
697	ACH-000070
GDM1	ACH-000081
G292CLONEA141B1	ACH-000082
HS281T	ACH-000083
MUTZ3	ACH-000084
T3M4	ACH-000085
ACCMESO1	ACH-000086
HS172T	ACH-000088
NCIH684	ACH-000089
PC3	ACH-000090
OV56	ACH-000091
NCIH2452	ACH-000092
PANC0504	ACH-000093
HPAFII	ACH-000094
D341MED	ACH-000095
G401	ACH-000096
ZR751	ACH-000097
GAMG	ACH-000098
SIMA	ACH-000099
RH41	ACH-000100
KE37	ACH-000101
GMS10	ACH-000102
CAOV4	ACH-000103
SEM	ACH-000782
NALM6	ACH-000938
NUDUL1	ACH-000287
CAPAN2	ACH-000107
KP3	ACH-000108
NCIH3255	ACH-000109
NCCSTCK140	ACH-000110
COLO824	ACH-001820
SIGM5	ACH-000112
OCIAML2	ACH-000113
SU8686	ACH-000114
VCAP	ACH-000115
OAW28	ACH-000116
SUM44PE	ACH-001395
HUPT3	ACH-000118
HS863T	ACH-000119
CHP212	ACH-000120
NCIH2405	ACH-000121
BDCM	ACH-000080
COV434	ACH-000123
OCILY19	ACH-000124
TO175T	ACH-000125
KG1C	ACH-000126
SLR20	ACH-000127
LN319	ACH-000128
NCIH1341	ACH-000129
KOPN8	ACH-001106
HS229T	ACH-000131
JHOS2	ACH-000132
HS729	ACH-000133
HS274T	ACH-000134
HS940T	ACH-000135
CHP126	ACH-000136
8MGBA	ACH-000137
CFPAC1	ACH-000138
PANC0327	ACH-000139
PFEIFFER	ACH-000140
SNU308	ACH-000141
CAL29	ACH-000142
HCC2429	ACH-000143
RERFGC1B	ACH-000144
THP1	ACH-000146
HS578T	ACH-000148
SKNSH	ACH-000149
HCC2935	ACH-000150
REH	ACH-000960
M059K	ACH-000152
NCIH2052	ACH-000153
HS888T	ACH-000154
SW1990	ACH-000155
A4FUK	ACH-000157
OCILY3	ACH-000158
OSRC2	ACH-000159
BT12	ACH-000160
CORL105	ACH-000161
GA10	ACH-000162
SW579	ACH-000163
PANC1	ACH-000164
HS751T	ACH-000165
KASUMI6	ACH-000166
KE97	ACH-000167
NOMO1	ACH-000168
RD	ACH-000169
PRECLH	ACH-000170
VMRCRCZ	ACH-000171
TM87	ACH-000172
