"1	CID1
"16	CID16
"2	CID2
"2-ethyl-1	CID10180
"3	CID3
"4	CID4
"5	CID5
"6	CID6
"CBS	CID163834
"CP-945	CID11289092
"ICI-118	CID11957590
"L-655	CID11954971
"chromanol-293B-(-)-[3R	CID121846
"cis-9	CID11131285
"hydrastine-(1r	CID197835
"isoquinoline	CID8405
"trans-10	CID17947915
"trans-4-[8-(3-Fluorophenyl)-1	CID3082214
1-EBIO	CID82320
1-acetyl-4-methylpiperazine	CID550758
1-azakenpaullone	CID6538897
1-deoxymannojirimycin	CID72258
1-ethyl-2-pyrrolidone	CID17595
1-hexadecanol	CID2682
1-octanol	CID957
1-phenylbiguanide	CID4780
10-DEBC	CID10521421
10-deacetylbaccatin	CID154272
10-hydroxycamptothecin	CID97226
10058-F4	CID1271002
12-O-tetradecanoylphorbol-13-acetate	CID27924
1400W	CID1433
17-alpha-methyltestosterone	CID6010
2'-MeCCPA	CID44292754
2-BFI	CID3080926
2-CMDO	CID71296946
2-Chloropyrazine	CID73277
2-PMDQ	CID4367545
2-TEDC	CID6069552
2-[1-(4-piperonyl)piperazinyl]benzothiazole	CID127902
2-aminobenzenesulfonamide	CID72894
2-chloro-N6-cyclopentyladenosine	CID123807
2-cyanopyrimidine	CID2757979
2-deoxyglucose	CID15736643
2-fluoro-2-deoxy-D-galactose	CID162629
2-hydroxyethyl-salicylate	CID6880
2-hydroxyflutamide	CID91649
2-hydroxysaclofen	CID1564
2-iminobiotin	CID135678104
2-iodomelatonin	CID115348
2-methoxyestradiol	CID66414
2-methyl-5-hydroxytryptamine	CID1574
2-octyldodecan-1-ol	CID21414
2-oxoglutaric-acid	CID51
2-phenylmelatonin	CID4018512
2-pyridylethylamine	CID75919
2-thiouracil	CID1269845
20-hydroxyecdysone	CID5459840
3'-fluorobenzylspiperone	CID3248000
3-(4-methylbenzylidene)camphor	CID6434217
3-AQC	CID11567402
3-CPMT	CID203135
3-MPPI	CID4013695
3-alpha-Hydroxy-5-beta-androstan-17-one	CID6420080
3-amino-benzamide	CID1645
3-bromo-7-nitroindazole	CID1649
3-bromopyruvate	CID70684
3-deazaadenosine	CID23190
3-deazaneplanocin-A	CID73087
3-indolebutyric-acid	CID8617
3-methyladenine	CID135398661
4-HQN	CID135408753
4-IBP	CID132995
4-P-PDOT	CID3976006
